product,ema_window,horizon,bucket,residual_mean,future_change_mean,future_change_median,count
VEV_5000,15,1,0,-0.47554082243442825,0.47750882405280193,0.45992566555969455,6000
VEV_5000,15,1,1,-0.17860822189591996,0.19210407573007887,0.04821278585995971,6000
VEV_5000,15,1,2,-0.025279637910130204,0.04008839753143862,0.0003721271614267885,5999
VEV_5000,15,1,3,0.13328956638213355,-0.14000874541645042,-0.04871653793406951,6000
VEV_5000,15,1,4,0.5458506242808653,-0.5697807895631918,-0.4784168073692854,6000
VEV_5000,20,1,0,-0.48545983282484867,0.48315473440679896,0.46201252751507127,6000
VEV_5000,20,1,1,-0.18347500329242866,0.19130601459222424,0.048966200197355654,6000
VEV_5000,20,1,2,-0.026590762610194475,0.04011086286921452,0.0003721271614267885,5999
VEV_5000,20,1,3,0.13599303963916054,-0.13750625777464556,-0.04893573051276691,6000
VEV_5000,20,1,4,0.5591604429514275,-0.577153588014692,-0.4834192221455851,6000
VEV_5000,25,1,0,-0.491898876160254,0.4877939812537619,0.46310359655581135,6000
VEV_5000,25,1,1,-0.1861567646016266,0.19062394249710496,0.04914182698576042,6000
VEV_5000,25,1,2,-0.027430275978757943,0.03688760566614591,0.00036271620047050035,5999
VEV_5000,25,1,3,0.13755756806716843,-0.1362655628699114,-0.048923394042503815,6000
VEV_5000,25,1,4,0.5674553207612768,-0.579128737677735,-0.4968140972409856,6000
VEV_5000,30,1,0,-0.4965185668719445,0.4914871625250892,0.46363312263474643,6000
VEV_5000,30,1,1,-0.18784745483182894,0.18887038998423245,0.04914182698576042,6000
VEV_5000,30,1,2,-0.028052132416460422,0.036199584252286365,0.0003721271614267885,5999
VEV_5000,30,1,3,0.1386590986782988,-0.13619990273178972,-0.0490661618491685,6000
VEV_5000,30,1,4,0.5731678401910786,-0.5804461198306876,-0.4979112559881286,6000
VEV_5000,35,1,0,-0.5000036493138497,0.4942510903229739,0.46397607637982213,6000
VEV_5000,35,1,1,-0.18909192071705605,0.18643599353898935,0.0491760789968794,6000
VEV_5000,35,1,2,-0.02856677947304968,0.03485790838420301,0.0003245905600124388,5999
VEV_5000,35,1,3,0.1395425321566913,-0.13478974763775733,-0.04905638533091402,6000
VEV_5000,35,1,4,0.5773951718583358,-0.5808443540219229,-0.4979342577271382,6000
VEV_5000,40,1,0,-0.502710717832627,0.49560682713993326,0.4643796993868819,6000
VEV_5000,40,1,1,-0.19015550366686967,0.18723064903343872,0.04952667909765295,6000
VEV_5000,40,1,2,-0.0290508202611264,0.03341138778769295,0.0002711102679313626,5999
VEV_5000,40,1,3,0.14031212458244663,-0.1332192842244732,-0.04883549300666343,6000
VEV_5000,40,1,4,0.5807338653957433,-0.5831189302368718,-0.4981441873933363,6000
VEV_5000,45,1,0,-0.5049829570473885,0.4945685076576007,0.4644813762247395,6000
VEV_5000,45,1,1,-0.1910255420551473,0.18860787878207824,0.04938105795281446,6000
VEV_5000,45,1,2,-0.02948947012547939,0.03138702121196287,0.00021844509410581803,5999
VEV_5000,45,1,3,0.14097956568192727,-0.1324712147392315,-0.048975991775932926,6000
VEV_5000,45,1,4,0.5834899653911696,-0.5821818808071196,-0.4982103425418245,6000
VEV_5000,50,1,0,-0.5069384784864669,0.49384988782208633,0.4643249467039822,6000
VEV_5000,50,1,1,-0.1917779861889696,0.19250375342361697,0.050152531925050384,6000
VEV_5000,50,1,2,-0.029865991842947116,0.02939727051256302,0.00019301663087389898,5999
VEV_5000,50,1,3,0.14154134093623208,-0.13286881842143322,-0.04938177246913254,6000
VEV_5000,50,1,4,0.5858459457720251,-0.5829721128566591,-0.49834909273886296,6000
VEV_5000,55,1,0,-0.5086616011492819,0.4934728746637005,0.464255825784221,6000
VEV_5000,55,1,1,-0.1924197436075007,0.191650346387739,0.05005808761507072,6000
VEV_5000,55,1,2,-0.030198666993492985,0.031155499699229264,0.00019579965010052547,5999
VEV_5000,55,1,3,0.14201589547210489,-0.13275649058605388,-0.04950233341241981,6000
VEV_5000,55,1,4,0.5878941947574093,-0.583611956646243,-0.4983812847131047,6000
VEV_5000,60,1,0,-0.5102077080126232,0.49331430210122,0.4644993299057206,6000
VEV_5000,60,1,1,-0.1930290782939949,0.1921190759852616,0.050172187170574034,6000
VEV_5000,60,1,2,-0.030464506272773206,0.03250950365151843,0.0001931686419993084,5999
VEV_5000,60,1,3,0.14243872793265888,-0.13434981263361212,-0.049873474207743095,6000
VEV_5000,60,1,4,0.5897109812881393,-0.5836825699186906,-0.4984369062153746,6000
VEV_5000,65,1,0,-0.5116208950707245,0.49313669478960614,0.46457830842700787,6000
VEV_5000,65,1,1,-0.19361330752269593,0.1910411908426848,0.05022261093154155,6000
VEV_5000,65,1,2,-0.030691712064563132,0.03329113197229926,0.00019187610269000288,5999
VEV_5000,65,1,3,0.14283033643331824,-0.1350788454970637,-0.04984252361737159,6000
VEV_5000,65,1,4,0.5913563715801498,-0.5824795426504424,-0.49841035694544183,6000
VEV_5000,15,2,0,-0.4755349010431898,0.4733868354456084,0.45468035753219727,6000
VEV_5000,15,2,1,-0.1785932332709344,0.1887166993742431,0.0657205239940594,5999
VEV_5000,15,2,2,-0.025267452879582274,0.043103703428378444,0.0008864757328410581,6000
VEV_5000,15,2,3,0.13330381192655838,-0.13853815970198866,-0.0710606679131161,5999
VEV_5000,15,2,4,0.5458506242808653,-0.5669367296566611,-0.4826616532577644,6000
VEV_5000,20,2,0,-0.48545295678910877,0.4802092206371907,0.45600337335827135,6000
VEV_5000,20,2,1,-0.1834598728472489,0.1873863785109063,0.0675352459847999,5999
