alpha1,alpha2,mean_total_profit,count,max_total_profit,min_total_profit,std_total_profit
-80,-75,56607.98611111111,1080,56981,56128,186.62619632921508
-75,-75,56607.98611111111,1080,56981,56128,186.62619632921508
-80,-80,56602.81759259259,1080,56973,56066,188.57850049436627
-80,-70,56602.64074074074,1080,56981,56128,184.68416194468023
-75,-70,56602.64074074074,1080,56981,56128,184.68416194468023
-70,-70,56602.64074074074,1080,56981,56128,184.68416194468023
-80,-65,56592.41574074074,1080,56950,56128,177.26549294299403
-75,-65,56592.41574074074,1080,56950,56128,177.26549294299403
-70,-65,56592.41574074074,1080,56950,56128,177.26549294299403
