"ASH_EPSILON";"150";"160";"170";"180"
"";"Round 1 day -1: 19,003";"Round 1 day -1: 19,002";"Round 1 day -1: 18,767";"Round 1 day -1: 18,859"
"";"Round 1 day 0: 18,175";"Round 1 day 0: 18,316";"Round 1 day 0: 18,277";"Round 1 day 0: 18,278"
"";"Total profit: 53,794";"Total profit: 53,907";"Total profit: 53,697";"Total profit: 53,852"
"0.95";"Round 1 day -2: 16,531";"Round 1 day -2: 16,668";"Round 1 day -2: 16,699";"Round 1 day -2: 16,797"
"";"Round 1 day -1: 18,959";"Round 1 day -1: 18,788";"Round 1 day -1: 18,946";"Round 1 day -1: 18,736"
"";"Round 1 day 0: 18,312";"Round 1 day 0: 18,235";"Round 1 day 0: 18,326";"Round 1 day 0: 18,311"
"";"Total profit: 53,802";"Total profit: 53,691";"Total profit: 53,971";"Total profit: 53,844"
"1.00";"Round 1 day -2: 16,506";"Round 1 day -2: 16,622";"Round 1 day -2: 16,643";"Round 1 day -2: 16,750"
"";"Round 1 day -1: 18,711";"Round 1 day -1: 18,695";"Round 1 day -1: 18,930";"Round 1 day -1: 18,934"
"";"Round 1 day 0: 18,177";"Round 1 day 0: 18,161";"Round 1 day 0: 18,174";"Round 1 day 0: 18,299"
"";"Total profit: 53,394";"Total profit: 53,478";"Total profit: 53,747";"Total profit: 53,983"
