alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,alpha10,day_-2_profit,day_-1_profit,day_0_profit,total_profit
-80,-80,-25,-5,10,10,50,70,70,80,18457,19647,18858,56962
-80,-80,-35,-5,10,10,50,70,70,80,18457,19647,18858,56962
-75,-70,-15,-5,10,10,50,70,70,70,18428,19642,18892,56962
-75,-75,-15,-5,10,10,50,70,70,70,18428,19642,18892,56962
-80,-70,-15,-5,10,10,50,70,70,70,18428,19642,18892,56962
-80,-75,-15,-5,10,10,50,70,70,70,18428,19642,18892,56962
-80,-80,-35,-5,10,10,50,70,70,70,18428,19661,18869,56958
-80,-80,-25,-5,10,10,50,70,70,70,18428,19661,18869,56958
-80,-80,-35,5,10,10,50,70,70,70,18428,19670,18861,56958
-80,-80,-25,5,10,10,50,70,70,70,18428,19670,18861,56958
-80,-80,-15,5,10,10,50,70,70,70,18428,19670,18861,56958
-80,-80,-35,-15,0,10,50,70,70,80,18457,19653,18848,56958
-80,-80,-25,-15,0,10,50,70,70,80,18457,19653,18848,56958
-75,-65,-25,-5,10,10,50,70,70,70,18396,19661,18892,56950
-70,-65,-25,-5,10,10,50,70,70,70,18396,19661,18892,56950
-70,-65,-35,-5,10,10,50,70,70,70,18396,19661,18892,56950
-80,-65,-35,-5,10,10,50,70,70,70,18396,19661,18892,56950
-75,-65,-35,-5,10,10,50,70,70,70,18396,19661,18892,56950
-80,-65,-25,-5,10,10,50,70,70,70,18396,19661,18892,56950
-75,-65,-15,5,10,10,50,70,70,80,18419,19662,18868,56949
-70,-65,-15,5,10,10,50,70,70,80,18419,19662,18868,56949
-70,-65,-25,5,10,10,50,70,70,80,18419,19662,18868,56949
-70,-65,-35,5,10,10,50,70,70,80,18419,19662,18868,56949
-75,-65,-35,5,10,10,50,70,70,80,18419,19662,18868,56949
-75,-65,-25,5,10,10,50,70,70,80,18419,19662,18868,56949
-80,-65,-15,5,10,10,50,70,70,80,18419,19662,18868,56949
-80,-65,-25,5,10,10,50,70,70,80,18419,19662,18868,56949
-80,-65,-35,5,10,10,50,70,70,80,18419,19662,18868,56949
-80,-75,-15,-5,10,10,50,70,70,80,18457,19624,18866,56947
-80,-70,-15,-5,10,10,50,70,70,80,18457,19624,18866,56947
-75,-75,-15,-5,10,10,50,70,70,80,18457,19624,18866,56947
-75,-70,-15,-5,10,10,50,70,70,80,18457,19624,18866,56947
-70,-70,-15,-5,10,10,50,70,70,80,18457,19624,18866,56947
-80,-75,-25,-5,0,10,50,70,70,70,18428,19661,18858,56946
-75,-75,-25,-5,0,10,50,70,70,70,18428,19661,18858,56946
-75,-75,-35,-5,0,10,50,70,70,70,18428,19661,18858,56946
-80,-80,-35,-5,0,10,50,70,70,70,18428,19661,18858,56946
-80,-75,-35,-5,0,10,50,70,70,70,18428,19661,18858,56946
-80,-80,-25,-5,0,10,50,70,70,70,18428,19661,18858,56946
-75,-70,-35,-5,0,10,50,70,70,80,18457,19647,18840,56944
-75,-75,-25,-5,0,10,50,70,70,80,18457,19647,18840,56944
-75,-70,-25,-5,0,10,50,70,70,80,18457,19647,18840,56944
-75,-70,-15,-15,0,10,50,70,70,80,18457,19631,18856,56944
-70,-70,-35,-5,0,10,50,70,70,80,18457,19647,18840,56944
-70,-70,-25,-5,0,10,50,70,70,80,18457,19647,18840,56944
-80,-70,-25,-5,0,10,50,70,70,80,18457,19647,18840,56944
-75,-75,-35,-5,0,10,50,70,70,80,18457,19647,18840,56944
-80,-70,-15,-15,0,10,50,70,70,80,18457,19631,18856,56944
-80,-70,-35,-5,0,10,50,70,70,80,18457,19647,18840,56944
-80,-75,-35,-5,0,10,50,70,70,80,18457,19647,18840,56944
-70,-70,-15,-15,0,10,50,70,70,80,18457,19631,18856,56944
-75,-75,-15,-15,0,10,50,70,70,80,18457,19631,18856,56944
-80,-75,-15,-15,0,10,50,70,70,80,18457,19631,18856,56944
-80,-75,-25,-5,0,10,50,70,70,80,18457,19647,18840,56944
-70,-65,-25,-15,10,10,50,70,70,80,18419,19651,18872,56942
-70,-70,-15,-15,10,10,50,70,70,80,18457,19619,18866,56942
-75,-75,-15,-15,10,10,50,70,70,80,18457,19619,18866,56942
-80,-70,-15,-15,10,10,50,70,70,80,18457,19619,18866,56942
-80,-75,-15,-15,10,10,50,70,70,80,18457,19619,18866,56942
-75,-70,-15,-15,10,10,50,70,70,80,18457,19619,18866,56942
-70,-65,-35,-15,10,10,50,70,70,80,18419,19651,18872,56942
-75,-65,-35,-15,10,10,50,70,70,80,18419,19651,18872,56942
-80,-65,-25,-15,10,10,50,70,70,80,18419,19651,18872,56942
-80,-65,-35,-15,10,10,50,70,70,80,18419,19651,18872,56942
-75,-65,-25,-15,10,10,50,70,70,80,18419,19651,18872,56942
-75,-70,-35,-15,10,10,50,70,70,70,18428,19651,18862,56940
-80,-80,-25,-5,0,10,50,70,70,80,18457,19647,18836,56940
-80,-80,-35,-5,0,10,50,70,70,80,18457,19647,18836,56940
-70,-70,-25,-15,10,10,50,70,70,70,18428,19651,18862,56940
-70,-70,-35,-15,10,10,50,70,70,70,18428,19651,18862,56940
-75,-70,-25,-15,10,10,50,70,70,70,18428,19651,18862,56940
-75,-75,-35,-15,10,10,50,70,70,70,18428,19651,18862,56940
-75,-75,-25,-15,10,10,50,70,70,70,18428,19651,18862,56940
-80,-70,-25,-15,10,10,50,70,70,70,18428,19651,18862,56940
-80,-70,-35,-15,10,10,50,70,70,70,18428,19651,18862,56940
-80,-75,-25,-15,10,10,50,70,70,70,18428,19651,18862,56940
-80,-75,-35,-15,10,10,50,70,70,70,18428,19651,18862,56940
-80,-80,-15,-5,10,10,50,70,70,80,18457,19624,18858,56939
-70,-65,-35,-5,10,10,50,70,70,80,18419,19647,18872,56938
-80,-80,-15,-5,10,10,50,70,70,70,18428,19642,18869,56938
-70,-65,-25,-5,10,10,50,70,70,80,18419,19647,18872,56938
-80,-65,-25,-5,10,10,50,70,70,80,18419,19647,18872,56938
-75,-65,-25,-5,10,10,50,70,70,80,18419,19647,18872,56938
-80,-65,-35,-5,10,10,50,70,70,80,18419,19647,18872,56938
-75,-65,-35,-5,10,10,50,70,70,80,18419,19647,18872,56938
-80,-75,-25,5,10,10,60,70,70,80,18405,19677,18854,56936
-80,-80,-15,-15,0,10,50,70,70,80,18457,19631,18848,56936
-70,-70,-25,5,10,10,60,70,70,80,18405,19677,18854,56936
-70,-70,-35,5,10,10,60,70,70,80,18405,19677,18854,56936
-75,-70,-25,5,10,10,60,70,70,80,18405,19677,18854,56936
-75,-70,-35,5,10,10,60,70,70,80,18405,19677,18854,56936
-75,-75,-35,5,10,10,60,70,70,80,18405,19677,18854,56936
-80,-70,-25,5,10,10,60,70,70,80,18405,19677,18854,56936
-80,-70,-35,5,10,10,60,70,70,80,18405,19677,18854,56936
