PEPPER_HISTORY_LENGTH,PEPPER_MUST_SELL_BUY_COEFF,PEPPER_ALPHA,day_-2_profit,day_-1_profit,day_0_profit,total_profit
299,0.42,4,98745,99716,98697,297158
39,0.1,16,98744,99434,98923,297101
399,0.3,2,98662,99742,98634,297038
19,0.1,10,98850,99413,98670,296933
39,0.1,18,98655,99411,98813,296879
19,0.38,2,98458,99862,98430,296750
19,0.1,12,98759,99374,98533,296666
39,0.1,20,98612,99365,98572,296549
39,0.38,2,98227,99501,98626,296354
19,0.1,14,98645,99268,98412,296325
19,0.1,16,98559,99188,98453,296200
19,0.1,18,98500,99169,98417,296086
19,0.1,20,98348,99182,98405,295935
69,0.38,2,97643,99362,98188,295193
299,0.34,2,98043,99207,97940,295190
399,0.42,4,98239,99069,97821,295129
99,0.38,2,97481,99246,97723,294450
399,0.34,2,97144,98642,96529,292315
199,0.38,2,96717,98382,96906,292005
19,0.42,2,97085,98312,96323,291720
39,0.42,2,96488,98684,95752,290924
69,0.42,2,96267,97579,95829,289675
99,0.42,2,96120,97611,95231,288962
299,0.38,2,96121,97331,94868,288320
199,0.42,2,95824,96413,93884,286121
399,0.38,2,95627,96433,93825,285885
299,0.42,2,95326,95570,92507,283403
399,0.42,2,95018,94965,91098,281081
