PEPPER_HISTORY_LENGTH,PEPPER_MUST_SELL_BUY_COEFF,PEPPER_ALPHA,day_-2_profit,day_-1_profit,day_0_profit,total_profit
39,0.42,17,101414,102105,101946,305465
39,0.48,17,101414,102255,101796,305465
34,0.34,6,101414,102162,101684,305260
29,0.35,7,101413,102280,101891,305584
39,0.345,7,101413,102187,101948,305548
39,0.44,14,101413,102241,101882,305536
39,0.46,15,101413,102305,101692,305410
39,0.32,6,101413,102224,101752,305389
34,0.37,12,101412,102233,102014,305659
34,0.36,8,101412,102235,101975,305622
49,0.4,16,101411,102150,101933,305494
49,0.37,10,101410,102304,102119,305833
39,0.385,11,101410,102254,101967,305631
99,0.3,8,101410,102199,101873,305482
99,0.3,5,101410,102232,101689,305331
39,0.395,12,101409,102260,102019,305688
49,0.36,12,101409,102246,101995,305650
29,0.41,13,101409,102222,101971,305602
129,0.38,16,101409,102187,101908,305504
129,0.28,4,101409,102043,101453,304905
69,0.36,9,101408,102354,102019,305781
39,0.385,13,101408,102226,102036,305670
44,0.36,9,101407,102336,102171,305914
129,0.36,12,101407,102243,102046,305696
99,0.4,15,101407,102250,102020,305677
29,0.42,14,101407,102162,101901,305470
29,0.4,15,101407,102140,101914,305461
69,0.38,10,101406,102318,102113,305837
129,0.34,10,101406,102309,102073,305788
29,0.42,13,101406,102270,102087,305763
29,0.35,8,101406,102293,101858,305557
129,0.4,16,101406,102154,101989,305549
49,0.46,16,101406,102265,101849,305520
39,0.34,6,101406,102245,101813,305464
59,0.34,9,101405,102359,102032,305796
44,0.35,10,101405,102322,101990,305717
44,0.33,8,101404,102291,101957,305652
59,0.34,7,101403,102155,102089,305647
49,0.4,14,101403,102220,101981,305604
49,0.48,17,101403,102304,101829,305536
39,0.345,9,101402,102343,102069,305814
34,0.33,8,101402,102281,101928,305611
29,0.46,15,101402,102255,101832,305489
399,0.34,20,101402,102060,101710,305172
29,0.35,9,101401,102266,102005,305672
69,0.38,16,101401,102273,101858,305532
34,0.33,6,101401,102169,101813,305383
29,0.44,17,101401,101998,101981,305380
49,0.36,13,101400,102262,101971,305633
129,0.4,15,101400,102242,101981,305623
59,0.36,13,101399,102287,102038,305724
44,0.4,13,101399,102256,101994,305649
129,0.3,6,101399,102369,101582,305350
299,0.26,10,101399,102158,101569,305126
49,0.38,11,101398,102242,102024,305664
44,0.38,13,101398,102217,102019,305634
29,0.42,17,101398,102081,101758,305237
44,0.32,7,101397,102361,101991,305749
29,0.33,7,101397,102322,101950,305669
34,0.42,13,101397,102251,101966,305614
69,0.34,9,101396,102310,102086,305792
39,0.335,6,101396,102305,101827,305528
29,0.48,16,101396,102180,101764,305340
44,0.32,6,101395,102226,101780,305401
39,0.325,6,101395,102261,101725,305381
49,0.34,10,101394,102345,101986,305725
29,0.33,8,101394,102262,101924,305580
199,0.42,20,101394,102108,101952,305454
69,0.4,16,101393,102205,101907,305505
49,0.4,12,101392,102256,102111,305759
39,0.35,10,101392,102343,102001,305736
199,0.38,16,101392,102244,102083,305719
29,0.44,14,101392,102226,101970,305588
199,0.38,20,101392,102078,101732,305202
199,0.26,10,101392,102067,101456,304915
34,0.34,9,101391,102297,101966,305654
69,0.4,15,101391,102214,101999,305604
49,0.46,17,101391,102228,101857,305476
299,0.26,8,101391,102284,101642,305317
29,0.33,6,101391,102161,101678,305230
59,0.34,10,101390,102338,101973,305701
69,0.44,17,101390,102170,102042,305602
39,0.38,13,101388,102298,102058,305744
34,0.41,13,101387,102240,101894,305521
99,0.3,6,101387,102263,101744,305394
39,0.39,11,101386,102293,101967,305646
39,0.385,12,101386,102274,101961,305621
39,0.395,14,101386,102204,101973,305563
199,0.34,10,101386,102186,101974,305546
49,0.35,8,101385,102297,102071,305753
29,0.37,12,101385,102188,102062,305635
29,0.34,7,101385,102301,101897,305583
199,0.34,16,101385,102236,101805,305426
49,0.33,9,101384,102299,102022,305705
49,0.42,15,101384,102259,101982,305625
39,0.4,14,101384,102245,101984,305613
39,0.355,7,101384,102266,101774,305424
29,0.32,6,101384,102310,101694,305388
39,0.325,8,101383,102310,101907,305600
99,0.42,17,101382,102145,101962,305489
129,0.28,6,101382,102158,101511,305051
39,0.335,9,101381,102331,102068,305780
44,0.33,9,101381,102347,102048,305776
39,0.33,9,101381,102274,102032,305687
99,0.36,11,101381,102265,101954,305600
129,0.44,17,101381,102183,101982,305546
99,0.46,18,101381,102197,101924,305502
49,0.37,9,101380,102304,102143,305827
39,0.355,8,101380,102349,102050,305779
39,0.34,9,101380,102310,102057,305747
129,0.32,10,101380,102237,102022,305639
39,0.32,7,101380,102310,101909,305599
129,0.38,13,101380,102218,101969,305567
69,0.46,18,101380,102146,102017,305543
129,0.32,12,101380,102255,101859,305494
34,0.38,13,101379,102199,101988,305566
44,0.41,13,101378,102277,102053,305708
34,0.39,12,101378,102257,101997,305632
29,0.36,10,101377,102271,102031,305679
29,0.36,8,101376,102315,101964,305655
129,0.3,13,101376,102186,101735,305297
199,0.26,6,101376,102157,101430,304963
